date,source,url,currency,title,estimator_id,time_horizon,horizon_days,valid_to_date,confidence,reasoning
2026-03-02,FXStreet,https://www.fxstreet.com/news/forex-today-us-dollar-surges-above-9850-as-us-israel-strikes-on-iran-spark-geopolitical-crisis-202603022009,USD,Forex Today: US Dollar surges above 98.50 as US-Israel strikes on Iran spark geopolitical crisis,llm-horizon-v1-default,2week,14,2026-03-16,0.8,"The article describes a significant geopolitical event with potential for escalation, which would likely have a medium-term impact on the USD and broader markets over the next 2 weeks."
2026-03-02,FXStreet,https://www.fxstreet.com/news/aud-usd-drops-on-iran-conflict-rhetoric-and-firm-us-data-202603021932,USD,AUD/USD drops on Iran conflict rhetoric and firm US data,llm-horizon-v1-default,3day,3,2026-03-05,0.8,"The article mentions immediate price action in the AUD/USD pair, which suggests a short-term market impact. Additionally, the article references 'over-the-weekend developments' and 'at the time of writing', indicating a time frame of a few days."
2026-03-02,FXStreet,https://www.fxstreet.com/news/nzd-usd-weakens-as-risk-off-sentiment-lifts-the-us-dollar-202603021822,USD,NZD/USD weakens as risk-off sentiment lifts the US Dollar,llm-horizon-v1-default,3day,3,2026-03-05,0.8,"The article mentions immediate price action and geopolitical tensions, which typically have a short-term impact of 2-3 days on the currency market."
2026-03-02,FXStreet,https://www.fxstreet.com/news/us-dollar-index-surges-to-five-week-highs-as-middle-east-conflict-drives-safe-haven-demand-202603021808,USD,US Dollar Index surges to five-week highs as Middle East conflict drives safe-haven demand,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article mentions the US Dollar Index surging to five-week highs, indicating a near-term market impact driven by safe-haven demand due to Middle East conflict. This suggests a time horizon of around 1 week, as the effects of geopolitical events typically last for that duration."
2026-03-02,FXStreet,https://www.fxstreet.com/news/cee-fx-forint-and-lira-seen-under-pressure-ing-202603021754,USD,CEE FX: Forint and Lira seen under pressure – ING,llm-horizon-v1-default,2week,14,2026-03-16,0.8,"The article discusses a medium-term impact on CEE currencies due to the Iran-related energy shock, which is expected to weigh on the currencies and delay rate-cut plans. This suggests a 2-week time horizon for the primary market impact."
2026-03-02,FXStreet,https://www.fxstreet.com/news/gold-rallies-towards-5-300-as-mideast-war-oil-spike-stoke-haven-bid-202603021725,USD,"Gold rallies towards $5,300 as Mideast war, Oil spike stoke haven bid",llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article mentions an immediate price reaction in gold, but the key driver appears to be the escalation of geopolitical tensions in the Middle East, which typically have a near-term to medium-term impact on markets."
2026-03-02,FXStreet,https://www.fxstreet.com/news/silver-price-forecast-xag-usd-rises-above-95-amid-middle-east-war-202603021025,USD,Silver Price Forecast: XAG/USD tumbles below $90 as US Dollar surges,llm-horizon-v1-default,1day,1,2026-03-03,0.8,"The article focuses on the immediate price action of silver, indicating a sharp intraday drop, which suggests an immediate/intraday market impact."
2026-03-02,FXStreet,https://www.fxstreet.com/news/gold-surges-on-safe-haven-flows-amid-us-iran-war-202603021215,USD,Gold eases after US-Israel strikes on Iran rattle global markets,llm-horizon-v1-default,3day,3,2026-03-05,0.8,"The article mentions immediate price action in gold, indicating a short-term market impact. However, the broader context of escalating geopolitical tensions in the Middle East suggests a slightly longer-term influence, likely lasting up to a few days."
2026-03-02,FXStreet,https://www.fxstreet.com/news/usd-chf-advances-on-middle-east-war-robust-us-manufacturing-pmi-202603021620,USD,"USD/CHF advances on Middle East war, robust US manufacturing PMI",llm-horizon-v1-default,3day,3,2026-03-05,0.8,"The article mentions immediate price action and a robust US manufacturing PMI release, which typically have a short-term impact of 2-3 days. While the Middle East war could have longer-term implications, the focus of the article is on the near-term market reaction."
2026-03-02,FXStreet,https://www.fxstreet.com/news/usd-cad-climbs-as-us-iran-war-drives-safe-haven-demand-oil-prices-jump-202603021511,USD,"USD/CAD climbs as US-Iran war drives safe-haven demand, Oil prices jump",llm-horizon-v1-default,3day,3,2026-03-05,0.8,"The article mentions immediate price action and risk-off sentiment in global markets, indicating a short-term market impact. However, the key driver appears to be the US-Iran geopolitical tensions, which could have a medium-term influence on oil prices and the USD/CAD pair."
2026-03-02,FXStreet,https://www.fxstreet.com/news/gbp-usd-slides-towards-13400-as-mideast-war-boosts-us-dollar-202603021503,USD,GBP/USD slides towards 1.3400 as Mideast war boosts US Dollar,llm-horizon-v1-default,1day,1,2026-03-03,0.8,"The article mentions immediate price action and risk aversion in the market, indicating an intraday/immediate impact on the GBP/USD pair."
2026-03-02,FXStreet,https://www.fxstreet.com/news/usd-jpy-climbs-on-safe-haven-dollar-demand-despite-boj-rate-hike-expectations-202603021422,USD,"USD/JPY climbs on safe-haven Dollar demand, despite BoJ rate hike expectations",llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses immediate price action and mentions upcoming central bank policy, suggesting a near-term impact on the USD/JPY pair lasting around 1 week."
2026-03-02,FXStreet,https://www.fxstreet.com/news/us-secretary-of-war-hegseth-no-time-frame-to-the-iran-operation-202603021406,USD,US Secretary of War Hegseth: No time frame to the Iran operation,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses a potential military operation against Iran, which is a geopolitical event that is likely to have a near-term impact on the USD currency market, lasting around 1 week as markets assess the implications and risks."
2026-03-02,FXStreet,https://www.fxstreet.com/news/chf-safe-haven-crown-shifts-to-franc-commerzbank-202603021306,USD,CHF: Safe haven crown shifts to Franc – Commerzbank,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses the Swiss franc becoming a safe-haven currency, which is a near-term market impact that is likely to last for about a week as investors react to this shift in currency dynamics."
2026-03-02,Yahoo Finance,https://finance.yahoo.com/news/fed-chair-nominee-kevin-warshs-115600647.html,USD,Fed Chair Nominee Kevin Warsh's Biggest Challenge Won't Be Balance Sheet Deleveraging or Interest Rates -- It'll Be Something Far More Important,llm-horizon-v1-default,1month,30,2026-04-01,0.8,"The article discusses a longer-term challenge for the Fed Chair nominee, which suggests a longer-term market impact beyond the immediate or short-term reactions."
2026-03-02,ForexLive,https://investinglive.com/news/investinglive-european-markets-wrap-oil-stays-bid-dollar-firms-on-us-iran-conflict-20260302/,EUR,"investingLive European markets wrap: Oil stays bid, dollar firms on US-Iran conflict",llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses immediate market reactions to the US-Iran conflict, including oil price surges, dollar strength, and central bank interventions. These are likely to have a near-term impact lasting up to 1 week as markets digest the geopolitical developments."
2026-03-02,ForexLive,https://investinglive.com/news/eu-reportedly-says-that-there-is-no-immediate-impact-to-oil-security-from-us-iran-conflict-20260302/,EUR,EU reportedly says that there is no immediate impact to oil security from US-Iran conflict,llm-horizon-v1-default,3day,3,2026-03-05,0.8,"The article mentions an 'immediate' impact on oil security, but also notes that the EU is considering convening a meeting later this week, suggesting a short-term focus. The overall tone indicates a near-term market impact rather than a longer-term structural shift."
2026-03-02,ForexLive,https://investinglive.com/news/eurozone-february-final-manufacturing-pmi-508-vs-508-prelim-20260302/,EUR,Eurozone February final manufacturing PMI 50.8 vs 50.8 prelim,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses the Eurozone manufacturing PMI, which is a monthly economic indicator. The data release and its impact on the EUR currency pair is likely to be relevant for the near-term, around 1 week, as it provides an update on the current state of the manufacturing sector in the Eurozone."
2026-03-02,ForexLive,https://investinglive.com/news/what-are-the-main-events-for-today-20260302/,EUR,What are the main events for today?,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article mentions upcoming PMI data releases and central bank policy, which typically have a near-term impact of around 1 week. The longer-term impact of the Middle East conflict is also noted, but the primary focus of the article is on the immediate economic data releases."
2026-03-02,FXStreet,https://www.fxstreet.com/news/swiss-franc-surges-to-decade-highs-against-the-euro-before-snb-threats-cool-chf-markets-202603022013,EUR,Swiss Franc surges to decade highs against the Euro before SNB threats cool CHF markets,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses an immediate surge in the Swiss franc due to geopolitical tensions, which is likely to have a near-term impact on the EUR/CHF exchange rate as central banks respond to the market moves."
2026-03-02,FXStreet,https://www.fxstreet.com/news/eur-usd-weakens-as-us-iran-conflict-strengthens-the-us-dollar-202603021641,EUR,EUR/USD weakens as US-Iran conflict strengthens the US Dollar,llm-horizon-v1-default,3day,3,2026-03-05,0.8,"The article mentions immediate price action in the EUR/USD pair, indicating a short-term market impact. However, the underlying driver is geopolitical tensions, which typically have a medium-term influence on currency markets."
2026-03-02,FXStreet,https://www.fxstreet.com/news/ecbs-kocher-should-be-prepared-to-move-rates-quickly-202603021447,EUR,ECB’s Kocher: Should be prepared to move rates quickly,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses the ECB's potential interest rate moves, which is a near-term central bank policy decision that would likely have a 1-week market impact window."
2026-03-02,FXStreet,https://www.fxstreet.com/news/euro-area-growth-drag-from-higher-oil-commerzbank-202603021445,EUR,Euro area: Growth drag from higher Oil – Commerzbank,llm-horizon-v1-default,1month,30,2026-04-01,0.8,"The article discusses a medium-term economic impact of higher oil prices on Eurozone GDP growth, which is a structural trend that is likely to last for at least the next month."
2026-03-02,FXStreet,https://www.fxstreet.com/news/aluminium-supply-risks-rise-on-middle-east-tensions-ing-202603021426,EUR,Aluminium: Supply risks rise on Middle East tensions – ING,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses a near-term supply risk in the aluminum market due to Middle East tensions, which is likely to impact regional premiums in the coming weeks."
2026-03-02,FXStreet,https://www.fxstreet.com/news/euro-energy-shock-implications-for-ecb-policy-abn-amro-202603021331,EUR,Euro: Energy shock implications for ECB policy – ABN AMRO,llm-horizon-v1-default,2week,14,2026-03-16,0.8,"The article discusses the impact of higher Brent oil prices on Eurozone inflation and ECB policy, which are medium-term factors typically considered over a 2-week horizon."
2026-03-02,FXStreet,https://www.fxstreet.com/news/dxy-energy-shock-and-fed-repricing-support-ing-202603021258,EUR,DXY: Energy shock and Fed repricing support – ING,llm-horizon-v1-default,2week,14,2026-03-16,0.8,"The article discusses the impact of the energy shock and Fed repricing, which are medium-term factors that are likely to affect the EUR/USD exchange rate over the next 2 weeks. The mention of 'likely to persist' suggests a longer-lasting impact beyond just the immediate or short-term."
2026-03-02,NewsAPI (Khabarhub.com),https://english.khabarhub.com/2026/01/537096/,EUR,Foreign currency exchange rates fixed for today,llm-horizon-v1-default,1day,1,2026-03-03,0.8,"The article discusses the daily foreign exchange rates set by the Nepal Rastra Bank, indicating an immediate, intraday market impact."
2026-03-02,ForexLive,https://investinglive.com/news/saudi-aramcos-ras-tanura-refinery-forced-to-shut-down-after-reported-drone-attack-20260302/,AUD,Saudi Aramco's Ras Tanura refinery forced to shut down after reported drone attack,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses an immediate disruption to oil refining operations, which would likely have a short-term impact on oil and energy markets. However, the longer-term implications around regional tensions and potential for further attacks suggest a near-term time horizon of around 1 week."
2026-03-02,NewsAPI (Whatjapanthinks.com),https://whatjapanthinks.com/quantum-ai-investment-review/,AUD,Quantum AI Investment Review: Trusted Trading System or Fraud? Results Exposed,llm-horizon-v1-default,1month,30,2026-04-01,0.8,"The article discusses a newly launched online trading platform, Quantum AI Investment, which suggests a longer-term market impact as it relates to the adoption and performance of this new product in the cryptocurrency markets."
2026-03-02,NewsAPI (Whatjapanthinks.com),https://whatjapanthinks.com/apexspire-tayren-review/,AUD,Apexspire Tayren Review: Trusted Trading System or Fraud? Results Exposed,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses a new trading platform, Apexspire Tayren, which is likely to generate near-term interest and reactions from the market. However, the long-term impact will depend on the platform's actual performance and user adoption, which may take more time to fully assess."
