date,source,url,currency,title,snippet,time_horizon,confidence,reasoning
2026-03-04,NewsAPI (GlobeNewswire),,EUR,,,1month,0.8,"The article discusses a policy decision by Thailand's Ministry of Energy to prioritize domestic energy supply, which is a structural change that is likely to have a longer-term impact on the energy market and related currencies like the EUR."
2026-03-04,ForexLive,,AUD,,,1week,0.8,"The article discusses a drone attack on a major oil refinery in Saudi Arabia, which is likely to have a near-term impact on oil markets and prices. However, the disruption is not expected to be long-lasting, as the article suggests the threats from Iran may be diminishing."
2026-03-04,ForexLive,,AUD,,,1week,0.8,"The article discusses a military conflict with Iran, which is a significant geopolitical event. While the initial market reaction may be immediate, the ongoing developments and policy implications are likely to have a near-term impact lasting around 1 week."
2026-03-04,ForexLive,,AUD,,,1week,0.8,"The article discusses a Q4 GDP release, which is a key economic indicator that typically has a near-term impact on the currency market, lasting around 1 week."
2026-03-04,FXStreet,,AUD,,,1month,0.8,"The article discusses the resilience of Australia's economy and ongoing private investment, which suggests a longer-term, structural trend rather than an immediate or short-term market impact."
2026-03-04,Yahoo Finance,,AUD,,,2week,0.8,The news of Maronan Metals securing an MDL for a silver project in Australia is a medium-term event that is likely to impact the AUD currency over the next 2 weeks as the market assesses the implications for the Australian mining sector and potential economic benefits.
2026-03-04,NewsAPI (GlobeNewswire),,AUD,,,1month,0.8,"The article discusses a structural shift in the retail trading industry, with a rebranding and expansion into multi-asset trading. This suggests longer-term market impact beyond immediate or short-term reactions."
2026-03-04,Yahoo Finance,,GBP,,,1month,0.8,"The article discusses Kadant as a 'high-quality, durable compounder', suggesting a longer-term structural trend rather than immediate or short-term market impacts. The language used, such as 'longer-term' and 'trend', indicates a time horizon of up to 1 month."
2026-03-04,FXStreet,,USD,,,1week,0.8,"The article discusses near-term USD strength driven by haven demand and higher USD borrowing costs, which suggests a 1-week time horizon for the market impact."
2026-03-04,NewsAPI (Israelnationalnews.com),,USD,,,1month,0.8,"The article discusses the long-term impact of wars on the Israeli shekel, which suggests a longer-term market impact horizon of up to 1 month."
